Theta, Alpha, Low_beta, High_beta, Gamma, Channel
2.577249276,2.959092004,1.546688024,2.615076016,2.371457105,IED_T8
0.389837049,0.177903065,0.246425344,0.511386088,0.222406546,IED_O1
0.638616625,4.647456583,5.900825809,3.477375389,2.854346307,IED_AF3
1.3287105,6.741814836,5.368792561,2.281103651,1.788831614,IED_AF4
2.098264459,1.400313922,1.275233587,1.383030712,1.192460606,IED_T7
1.80024761,2.846308371,2.673552101,2.422868729,1.638130284,IED_T8
0.445741703,0.3858004,0.201332598,0.492838239,0.304042043,IED_O1
1.534332828,8.455623808,7.873606707,6.481003045,2.45526889,IED_AF3
2.347404798,11.30973122,6.456534149,5.131851948,2.005547397,IED_AF4
1.564702978,1.88263108,1.855419456,2.254134491,1.181714559,IED_T7
2.386765801,5.5730632,5.693498389,4.084327475,1.808608,IED_T8
0.274587459,0.592498226,0.426488727,0.646523914,0.312182584,IED_O1
2.859178936,8.349908791,6.665290228,6.483046259,3.561913884,IED_AF3
4.490756508,12.40074909,6.815504036,5.076177681,3.126985017,IED_AF4
1.116307036,2.593380643,2.407482543,2.156553334,1.320394617,IED_T7
4.696448975,8.350408592,6.450408466,4.049865949,2.733189193,IED_T8
0.225675771,0.468718067,0.669079062,0.410821553,0.271042188,IED_O1
2.581585128,7.221956264,4.583474954,4.764721823,3.606415224,IED_AF3
3.126421473,9.424443742,6.781639354,3.877289528,3.372843988,IED_AF4
1.585008598,1.838629228,0.972537352,2.052004458,1.454579938,IED_T7
5.215499556,8.929209073,6.701976264,2.977721953,3.202970268,IED_T8
0.174403557,0.433784989,0.637577952,0.217029583,0.230573868,IED_O1
2.246491375,6.355493276,3.800947651,5.724262416,4.547871418,IED_AF3
2.770783955,6.649276262,3.49953819,3.805775977,4.519797444,IED_AF4
1.902082829,0.891806982,0.763582371,2.072666628,1.854311078,IED_T7
3.701867135,6.697306551,4.602380742,3.122379599,3.31331744,IED_T8
0.386534393,0.326895868,0.282256897,0.254687277,0.245556376,IED_O1
1.821801834,10.00630074,4.459866028,5.281711342,3.895008716,IED_AF3
2.040926883,10.461335,2.77627923,3.901382494,3.853434631,IED_AF4
1.440842984,0.926527506,1.501060672,1.945252657,1.848210625,IED_T7
4.056303198,6.863536389,2.861438099,2.944424426,2.481170175,IED_T8
0.356291219,0.290048624,0.187233612,0.303053247,0.28474196,IED_O1
0.930414543,10.89381941,6.704100119,3.460406734,2.176713209,IED_AF3
0.963153821,10.96799375,6.712405,3.676709247,1.991745976,IED_AF4
1.943682176,1.393972264,2.57198172,2.360747719,1.097902961,IED_T7
3.296379921,6.092070212,3.559882066,3.140082227,1.566851792,IED_T8
0.376420198,0.27234029,0.364098141,0.360135422,0.762279961,IED_O1
1.3115365,5.054505456,5.836330151,2.497887152,2.61333402,IED_AF3
1.771206313,4.648350445,5.888167778,2.731198691,2.454270341,IED_AF4
2.284799253,1.196521462,2.137157922,1.733650634,1.069943057,IED_T7
3.796971558,2.744859396,3.138469893,2.109786724,1.778461546,IED_T8
0.659398664,0.606380278,0.345112075,0.427148026,1.170282169,IED_O1
2.729886798,6.280263522,1.922176767,2.798584422,3.738795297,IED_AF3
3.04037019,5.841089842,2.141200918,3.400542381,3.707694118,IED_AF4
2.242297704,0.805312358,0.879451445,1.959488977,1.799780943,IED_T7
12.82407716,3.067614152,2.07383034,2.944988227,2.259579357,IED_T8
0.735130953,1.06052414,0.154321994,0.387257966,0.574867731,IED_O1
3.272977984,5.959032849,3.132447772,2.033831384,3.536054624,IED_AF3
3.817097074,4.881255474,4.081582655,2.25105146,2.750799633,IED_AF4
2.26748043,1.161205931,1.651276766,1.72791941,1.872224635,IED_T7
20.9242319,2.572160861,1.274532494,2.482866579,1.660963878,IED_T8
0.74347769,0.724954793,0.213281453,0.41664559,0.633375256,IED_O1
3.230269791,8.66529481,4.594503019,4.015039321,2.588812123,IED_AF3
5.30391982,6.729062532,6.460618906,3.300109436,1.514292181,IED_AF4
2.216988518,1.446050066,1.872485299,1.733115474,1.260023956,IED_T7
16.13109218,5.148304754,0.995786687,4.071762333,1.536971573,IED_T8
1.086621582,0.329395676,0.611432707,0.541553275,0.786714297,IED_O1
5.284030517,10.59797839,6.452685216,4.145566422,3.400317581,IED_AF3
6.798427215,9.029183,9.986782003,3.378525233,2.149005398,IED_AF4
1.846901265,1.583298269,3.76331882,1.422471783,1.471193179,IED_T7
4.843707118,9.215102743,2.166003137,4.207625503,1.648185829,IED_T8
0.624474106,0.418938983,0.648841934,0.36559413,0.417364869,IED_O1
8.029783881,7.579559008,6.112090513,4.938272303,3.909083621,IED_AF3
8.021710018,8.173042656,5.58472257,3.586436912,2.60615773,IED_AF4
3.847413841,2.478986616,2.292962372,1.407202864,1.54878176,IED_T7
3.49158844,7.098899535,3.982080973,2.778937621,1.745419923,IED_T8
0.411218272,0.600772204,0.366353007,0.210350111,0.25786796,IED_O1
10.0574015,8.563906352,3.225687992,4.339561953,4.952904555,IED_AF3
9.899071866,9.315111727,2.256860256,3.077969651,3.310821297,IED_AF4
2.956736524,4.608310576,1.20070486,1.517490812,1.804056632,IED_T7
4.702251661,5.446829791,2.616364285,2.057855601,2.681058525,IED_T8
0.293211614,1.136942139,0.263080053,0.23521268,0.375111943,IED_O1
3.798070218,15.42450753,6.200938873,3.655437631,5.135110772,IED_AF3
3.939261407,12.84106608,4.961667057,2.321255566,3.11208327,IED_AF4
3.457279435,8.334105588,2.249046199,1.788253839,2.089476657,IED_T7
4.699793836,8.518377023,3.297912627,2.585471413,2.938945248,IED_T8
0.183535652,1.536484313,0.348399082,0.273131274,0.38492278,IED_O1
4.096091649,10.53504245,8.06180521,9.265358028,8.285280442,IED_AF3
4.166714795,10.26903714,7.641733206,4.08889421,3.403786853,IED_AF4
4.465145817,4.438959015,2.284450182,2.006097767,1.952029645,IED_T7
4.065906217,5.063528788,3.269717557,4.17303889,2.324618879,IED_T8
0.20719077,0.51515903,0.28741531,0.317842791,0.358507859,IED_O1
6.030816819,5.722889417,7.381785342,9.202322512,8.594071272,IED_AF3
6.830528415,8.609677558,6.951466249,4.736054978,4.518535868,IED_AF4
2.40280095,2.686889023,1.904033914,2.101439477,1.606644725,IED_T7
1.771302751,2.965595952,2.616645426,4.345520746,3.422160486,IED_T8
0.264316424,0.308866032,0.252944927,0.423421957,0.285802153,IED_O1
4.166699349,4.475485336,10.34698696,3.690582831,4.077177785,IED_AF3
4.029967527,4.801711555,8.821512717,3.625686809,3.578765578,IED_AF4
1.818750725,1.83421594,1.34672429,2.078401436,1.507899043,IED_T7
1.959115497,2.313985476,5.183608958,3.1295994,2.880594109,IED_T8
0.411561361,0.43073327,0.306750991,0.337323614,0.283275649,IED_O1
3.572088003,5.496553248,8.424752966,2.710688805,2.959302563,IED_AF3
2.091753329,6.044692058,7.4454562,2.585439868,2.04238741,IED_AF4
2.651494524,1.522013842,0.996415325,1.114152787,1.16004557,IED_T7
3.178088264,4.295423801,5.469030388,1.697192388,1.466103156,IED_T8
0.390343792,0.422474995,0.401297898,0.206038922,0.278716811,IED_O1
5.106200561,5.159263394,5.086305434,2.729457377,2.743577274,IED_AF3
4.541712103,4.493988425,6.119513932,3.405753426,1.686349654,IED_AF4
1.605564763,1.6628414,2.12627534,1.413876961,0.891512326,IED_T7
4.507832294,4.037374182,5.485090251,3.429686334,1.192540786,IED_T8
0.348591266,0.272144916,0.316015277,0.239842697,0.287084147,IED_O1
5.096052336,4.957024617,3.894247108,3.00545433,2.57455726,IED_AF3
4.078861771,3.726721593,5.287113711,4.139057917,2.060918129,IED_AF4
1.556856297,2.297029382,2.005280118,1.744587805,1.01914392,IED_T7
6.102459853,4.093398807,5.28412135,5.063190512,2.239899589,IED_T8
0.620797991,0.300557452,0.399107584,0.351572513,0.267895634,IED_O1
1.439832777,4.539686572,2.239690254,2.564857047,2.434196719,IED_AF3
2.097892199,4.664808136,2.911835404,3.378037216,2.183034935,IED_AF4
1.55917173,2.27016828,1.130125738,1.434987476,0.954523833,IED_T7
3.631157205,3.571774139,4.884225952,3.471812543,3.13772751,IED_T8
0.623273304,0.281800592,0.245301423,0.338518381,0.24498839,IED_O1
1.902010149,4.359174918,5.289852553,2.827245006,2.530979865,IED_AF3
1.474002637,5.15806154,4.104407834,1.691720291,2.130107254,IED_AF4
1.701166998,2.05610651,1.069291308,0.964288053,0.811381169,IED_T7
3.910853371,3.290590151,4.494639515,2.305516677,3.106621375,IED_T8
0.460002813,0.325886209,0.244944084,0.248958538,0.308200873,IED_O1
2.722456168,6.782421656,11.33712262,4.900670889,2.461737215,IED_AF3
1.964648924,9.042997221,7.455201951,2.175761805,2.12638292,IED_AF4
2.637367076,2.981917765,1.886915169,0.904381611,0.974203024,IED_T7
4.862587507,3.079577492,4.992059229,2.590322431,1.85405293,IED_T8
0.250440874,0.559660607,0.365169367,0.300483838,0.291918615,IED_O1
3.878136514,7.345540691,9.703013083,6.249600978,3.658247838,IED_AF3
2.055278876,8.779961629,7.101896726,4.18848859,2.85904249,IED_AF4
2.812932642,3.471435107,2.885697749,1.975861755,1.224786573,IED_T7
5.098586162,4.155718033,4.817351789,4.061755443,1.550313038,IED_T8
0.382535693,0.368187396,0.497168763,0.283302463,0.220912514,IED_O1
2.094805125,6.009582649,4.022642371,4.612890392,5.155604647,IED_AF3
1.405266917,5.0128764,2.589965451,3.696825961,4.116189375,IED_AF4
1.697419928,2.017946064,1.591682125,1.641496443,1.48927992,IED_T7
8.284620231,5.382090106,2.045941031,2.788341941,1.646829257,IED_T8
0.748835995,0.34540277,0.973554189,0.237690237,0.230943693,IED_O1
1.323841788,7.431647688,4.499312294,3.254314132,5.089952283,IED_AF3
2.297698432,7.326677778,3.7492611,3.329307488,2.679360705,IED_AF4
1.191003417,1.959359967,1.085133195,1.436354794,1.460236759,IED_T7
4.26505331,4.955616527,2.442833111,2.650092031,1.695905561,IED_T8
0.41853311,0.404295404,0.569404512,0.222647751,0.314005048,IED_O1
2.362108789,7.209732156,5.721847485,2.956383278,6.62340574,IED_AF3
2.947118605,9.349785673,5.075945714,3.23959623,2.374827576,IED_AF4
1.105817947,1.577485421,0.851919451,1.044487339,1.482523665,IED_T7
